ID,X,Y,WKT,Name,Description,Date Created,Date Updated
0,-79.955057,26.2021374818869,"POLYGON((-79.9557426897809 26.2008664850146, -79.9543713172898 26.2008664850146, -79.9543713172898 26.2034084787592, -79.9557426897809 26.2034084787592, -79.9557426897809 26.2008664850146))",rectangle#1,ship_commercial_563050400_MONTE ALEGRE__L-_W-40.0_H-185.0_C-187.0_S-16.6_source,01/21/2026 10:39:10,01/21/2026 11:21:46
1,-79.95509558,26.2021142127924,"LINESTRING(-79.954907214269 26.2032494880259, -79.9552839435637 26.2009789375588)",polyline#1,,01/21/2026 10:40:24,01/21/2026 11:05:43
2,-79.95517534,26.201739651151,"LINESTRING(-79.9554105522111 26.20176628232, -79.9549401272088 26.201713019982)",polyline#2,,01/21/2026 10:44:48,01/21/2026 11:05:52
3,-79.98257368,26.2517253821716,"POLYGON((-79.9832817073911 26.251559224911, -79.9818656546995 26.251559224911, -79.9818656546995 26.2518915394321, -79.9832817073911 26.2518915394321, -79.9832817073911 26.251559224911))",rectangle#2,ship_unverified_________visual,01/21/2026 11:03:11,01/21/2026 11:22:21
4,-79.98274431,26.2517230818048,"LINESTRING(-79.9832377349958 26.2517207814381, -79.982250877656 26.2517253821716)",polyline#3,,01/21/2026 11:03:30,01/21/2026 11:05:15
5,-79.98293157,26.2517320178449,"LINESTRING(-79.9829308129847 26.2518362421542, -79.9829323170707 26.2516277935356)",polyline#4,,01/21/2026 11:04:13,01/21/2026 11:05:26
6,-79.97065,26.2904298049398,"POLYGON((-79.9707572720945 26.2903367727995, -79.9705427186564 26.2903367727995, -79.9705427186564 26.2905228370801, -79.9707572720945 26.2905228370801, -79.9707572720945 26.2903367727995))",vessel_3,ship_unverified_________visual,01/21/2026 11:23:43,01/21/2026 11:44:52
7,-79.97066145,26.2904365290888,"LINESTRING(-79.9705846561119 26.2903672084212, -79.9707382498309 26.2905058497563)",vessel_3_length,ship_undefined_________visual,01/21/2026 11:24:23,01/21/2026 11:30:49
8,-79.97063349,26.2903985287994,"LINESTRING(-79.9706733971834 26.2903717206791, -79.970593592152 26.2904253369197)",vessel_3_width,,01/21/2026 11:24:56,01/21/2026 11:30:58
9,-79.91743875,26.3130127708428,"POLYGON((-79.9180087121204 26.3127818936482, -79.9168687919155 26.3127818936482, -79.9168687919155 26.3132436480373, -79.9180087121204 26.3132436480373, -79.9180087121204 26.3127818936482))",vessel_4,ship_unverified_________visual,01/21/2026 11:34:53,01/21/2026 11:45:00
10,-79.91744149,26.3129980396479,"LINESTRING(-79.9178881198168 26.3131398661062, -79.916994869709 26.3128562131897)",vessel_4_length,,01/21/2026 11:40:20,01/21/2026 11:41:00
11,-79.91764809,26.3130566105247,"LINESTRING(-79.9176173843443 26.3131144735962, -79.9176787864417 26.3129987474531)",vessel_4_width,,01/21/2026 11:40:37,01/21/2026 11:41:11
12,-79.99448843,26.3292727805674,"POLYGON((-79.9948437931016 26.329192975536, -79.9945980962366 26.3289255136624, -79.9941330682486 26.3293525855988, -79.9943787651137 26.3296200474724, -79.9948437931016 26.329192975536))",vessel_5,ship_unverified_________visual,01/21/2026 11:42:19,01/21/2026 11:45:05
13,-79.99445322,26.3293021987192,"LINESTRING(-79.994259942323 26.3294636225328, -79.9946464924142 26.3291407749057)",vessel_5_length,,01/21/2026 11:43:15,01/21/2026 11:43:45
14,-79.99438076,26.3293547090143,"LINESTRING(-79.994470779784 26.3294399995357, -79.9942907318473 26.3292694184929)",vessel_5_width,,01/21/2026 11:43:31,01/21/2026 11:46:59
15,-79.98728178,26.1971236113459,"POLYGON((-79.987389985472 26.1969833774492, -79.9871735740453 26.1969833774492, -79.9871735740453 26.1972638452426, -79.987389985472 26.1972638452426, -79.987389985472 26.1969833774492))",vessel_6,ship_unverified_________visual,01/21/2026 11:46:14,01/21/2026 11:48:17
16,-79.98728249,26.197134538088,"LINESTRING(-79.9872820451856 26.1972478311509, -79.987282929942 26.1970212450251)",vessel_6_length,,01/21/2026 11:47:23,01/21/2026 11:48:03
17,-79.98728333,26.1971793067642,"LINESTRING(-79.987351144664 26.1971789086238, -79.9872155115008 26.1971797049046)",vessel_6_width,,01/21/2026 11:47:32,01/21/2026 11:48:11
18,-79.13025807,26.268598085735,"POLYGON((-79.1324777901173 26.2677762797102, -79.1280383476987 26.2677762797102, -79.1280383476987 26.2694198917598, -79.1324777901173 26.2694198917598, -79.1324777901173 26.2677762797102))",vessel_7,ship_warship_538010295_AMORE MIO I__L-299.0_W-46.0_H-296.0_C-295.8_S-17.2_source,01/21/2026 11:48:32,01/21/2026 16:40:58
19,-79.13098105,26.2683706148528,"LINESTRING(-79.1323572862893 26.2680265773088, -79.1296048089862 26.2687146523967)",vessel_7_length,,01/21/2026 11:50:48,01/21/2026 11:52:07
20,-79.13125377,26.2682653730735,"LINESTRING(-79.1313171666116 26.2684701057151, -79.1311903810129 26.2680606404319)",vessel_7_width,,01/21/2026 11:51:49,01/21/2026 11:52:14
21,-78.96946871,26.3422167673707,"POLYGON((-78.9712157985196 26.3415455026552, -78.9677216298878 26.3415455026552, -78.9677216298878 26.3428880320862, -78.9712157985196 26.3428880320862, -78.9712157985196 26.3415455026552))",vessel_8,ship_228415700_228415700_ELISA AQUILA__L-297.0_W-47.0_H-291.0_C-288.0_S-10.8_source,01/21/2026 11:55:50,01/21/2026 16:42:19
22,-78.96961359,26.342226145789,"LINESTRING(-78.9709659432992 26.3425649190322, -78.9682612428442 26.3418873725459)",vessel_8_length,,01/21/2026 11:59:02,01/21/2026 12:19:27
23,-78.97042863,26.3424619776197,"LINESTRING(-78.9703275030479 26.3426728593186, -78.9705297583714 26.3422510959208)",vessel_8_width,,01/21/2026 11:59:39,01/21/2026 12:19:36
24,-79.3125743,26.2725111865439,"POLYGON((-79.31332253851 26.2718721712008, -79.3118260614574 26.2718721712008, -79.3118260614574 26.2731502018869, -79.31332253851 26.2731502018869, -79.31332253851 26.2718721712008))",vessel_9,ship_unverified_________visual,01/21/2026 12:20:01,01/21/2026 12:35:50
25,-79.31261712,26.2725389236584,"LINESTRING(-79.3119895644486 26.2719801999629, -79.3132446799427 26.273097647354)",vessel_9_length,,01/21/2026 12:23:45,01/21/2026 12:25:12
26,-79.31215479,26.2721461360343,"LINESTRING(-79.3122589727864 26.2720741610974, -79.3120506126434 26.2722181109712)",vessel_9_width,,01/21/2026 12:24:16,01/21/2026 12:25:17
27,-79.83128157,26.3138660299592,"POLYGON((-79.8314665257931 26.3137368997559, -79.8310966091231 26.3137368997559, -79.8310966091231 26.3139951601624, -79.8314665257931 26.3139951601624, -79.8314665257931 26.3137368997559))",vessel_10,ship_unverified_________visual,01/21/2026 12:32:58,01/21/2026 12:36:12
28,-79.83127741,26.3138823094778,"LINESTRING(-79.8312788689509 26.313777952455, -79.8312759492546 26.3139866665006)",vessel_10_length,,01/21/2026 12:34:33,01/21/2026 12:36:21
29,-79.83127688,26.3138456363231,"LINESTRING(-79.8313252301887 26.3138487329707, -79.8312285263091 26.3138425396755)",vessel_10_width,,01/21/2026 12:35:03,01/21/2026 12:36:25
30,-79.84759157,26.3402797258459,"POLYGON((-79.8476984445006 26.3401292730123, -79.8474846873432 26.3401292730123, -79.8474846873432 26.3404301786795, -79.8476984445006 26.3404301786795, -79.8476984445006 26.3401292730123))",vessel_11,ship_ship-to-ship_368288810_WHITECAP__L-15.0_W-5.0_H-_C-6.1_S-9.1_source,01/21/2026 12:36:48,01/21/2026 16:43:21
31,-79.84759864,26.3403225922957,"LINESTRING(-79.8476778296754 26.3403238309547, -79.8475194582716 26.3403213536367)",vessel_11_length,,01/21/2026 12:40:36,01/21/2026 12:55:43
32,-79.84759692,26.3402651716024,"LINESTRING(-79.8476001480594 26.3403749698773, -79.8475936893374 26.3401553733274)",vessel_11_width,,01/21/2026 12:42:21,01/21/2026 12:55:48
33,-78.94128546,26.412616528105,"POLYGON((-78.9422037499025 26.4119885722175, -78.9403671724722 26.4119885722175, -78.9403671724722 26.4132444839925, -78.9422037499025 26.4132444839925, -78.9422037499025 26.4119885722175))",vessel_12,ship_unverified_________visual,01/21/2026 12:58:30,01/21/2026 16:44:01
34,-78.94129073,26.4126569172367,"LINESTRING(-78.9420172432438 26.4122004713863, -78.9405642077327 26.4131133630872)",vessel_12_length,ship_cat_mmsi_name_class_L-_W-_H-_C-_S-_,01/21/2026 12:59:23,01/21/2026 13:02:27
35,-78.94120327,26.4127002260648,"LINESTRING(-78.941312446259 26.4128344878554, -78.9410940883681 26.4125659642741)",vessel_12_width,,01/21/2026 12:59:48,01/21/2026 13:02:34
36,-79.27474751,26.5552255534567,"POLYGON((-79.274904821068 26.5551171265543, -79.2745902016759 26.5551171265543, -79.2745902016759 26.5553339803591, -79.274904821068 26.5553339803591, -79.274904821068 26.5551171265543))",vessel_13,ship_unverified_________visual,01/21/2026 13:40:45,01/21/2026 13:43:35
37,-79.27474791,26.555228959769,"LINESTRING(-79.2746427562088 26.5552324103191, -79.274853062816 26.5552255092189)",vessel_13_length,,01/21/2026 13:42:24,01/21/2026 13:43:14
38,-79.27467921,26.5552145382389,"LINESTRING(-79.2746803583577 26.555262580514, -79.274678057991 26.5551664959639)",vessel_13_width,,01/21/2026 13:42:30,01/21/2026 13:43:21
39,-79.38871405,26.4871540293097,"POLYGON((-79.3900067685172 26.4865596499294, -79.387421333231 26.4865596499294, -79.387421333231 26.4877484086901, -79.3900067685172 26.4877484086901, -79.3900067685172 26.4865596499294))",vessel_14,ship_unverified_________visual,01/21/2026 13:45:03,01/21/2026 15:09:32
40,-79.38830021,26.4872509986162,"LINESTRING(-79.3876887951046 26.4875001460314, -79.3889116169885 26.4870018512011)",vessel_14_length,,01/21/2026 13:46:33,01/21/2026 14:22:07
41,-79.38799129,26.4873446943238,"LINESTRING(-79.3880544649437 26.4874507766217, -79.3879281217232 26.487238612026)",vessel_14_width,,01/21/2026 14:21:41,01/21/2026 14:22:13
42,-79.40676782,26.5245653805323,"POLYGON((-79.4072250137106 26.5232282038778, -79.4063106179237 26.5232282038778, -79.4063106179237 26.5259025571868, -79.4072250137106 26.5259025571868, -79.4072250137106 26.5232282038778))",vessel_15,ship_unverified_________visual,01/21/2026 14:30:14,01/21/2026 16:44:35
43,-79.40677034,26.5245859953575,"LINESTRING(-79.4068756233901 26.5233768429607, -79.406665051356 26.5257951477543)",vessel_15_length,,01/21/2026 14:30:41,01/21/2026 14:31:44
44,-79.40679064,26.5240801800974,"LINESTRING(-79.4070431077853 26.5240961499512, -79.4065381772816 26.5240642102435)",vessel_15_width,,01/21/2026 14:31:09,01/21/2026 14:31:48
45,-79.36712091,26.4666723599657,"POLYGON((-79.367572972551 26.4655198762193, -79.3666688399389 26.4655198762193, -79.3666688399389 26.4678248437122, -79.367572972551 26.4678248437122, -79.367572972551 26.4655198762193))",vessel_16,ship_unverified_________visual,01/21/2026 14:33:18,01/21/2026 16:44:43
46,-79.36710131,26.4666943461634,"LINESTRING(-79.3672192469239 26.4656342752278, -79.3669833708555 26.4677544170991)",vessel_16_length,,01/21/2026 14:33:37,01/21/2026 14:34:29
47,-79.36714099,26.4664254244417,"LINESTRING(-79.3673288682476 26.4664364838973, -79.366953112185 26.4664143649861)",vessel_16_width,,01/21/2026 14:34:03,01/21/2026 14:34:24
48,-79.33691643,26.4810695149936,"POLYGON((-79.3371787574142 26.4808676578104, -79.3366540968418 26.4808676578104, -79.3366540968418 26.4812713721767, -79.3371787574142 26.4812713721767, -79.3371787574142 26.4808676578104))",vessel_17,ship_unverified_________visual,01/21/2026 14:36:29,01/21/2026 14:37:38
49,-79.33690811,26.4810904394835,"LINESTRING(-79.3370651546866 26.4809543639421, -79.3367510661483 26.4812265150249)",vessel_17_length,,01/21/2026 14:36:40,01/21/2026 14:37:44
50,-79.33690466,26.4810787164606,"LINESTRING(-79.3369575683028 26.4811398088932, -79.3368517514318 26.481017624028)",vessel_17_width,,01/21/2026 14:37:00,01/21/2026 14:37:48
51,-79.73085105,26.518722625915,"POLYGON((-79.7310620639473 26.5183500992134, -79.7306400351226 26.5183500992134, -79.7306400351226 26.5190951526165, -79.7310620639473 26.5190951526165, -79.7310620639473 26.5183500992134))",vessel_18,ship_unverified_________visual,01/21/2026 14:38:02,01/21/2026 16:45:54
52,-79.73089383,26.5187194407918,"LINESTRING(-79.730742755346 26.5183874359354, -79.7310448996723 26.5190514456481)",vessel_18_length,,01/21/2026 14:38:34,01/21/2026 16:45:28
53,-79.73090931,26.5187667310238,"LINESTRING(-79.7310051741078 26.5187306329608, -79.730813447386 26.5188028290868)",vessel_18_width,,01/21/2026 14:38:41,01/21/2026 14:39:07
54,-79.91723517,26.5067268768325,"POLYGON((-79.9176742741838 26.5065530221909, -79.9167960649356 26.5065530221909, -79.9167960649356 26.5069007314742, -79.9176742741838 26.5069007314742, -79.9176742741838 26.5065530221909))",vessel_19,ship_unverified_________visual,01/21/2026 14:39:37,01/21/2026 15:11:01
